train,validation
0.9474222585924713,0.9337016574585635
0.9576513911620295,0.94536525475752
0.9498772504091653,0.9349294045426643
0.9648117839607201,0.9484346224677717
0.9568330605564648,0.9367710251688153
0.9576513911620295,0.943523634131369
0.9588788870703764,0.937998772252916
0.9566284779050737,0.9386126457949663
0.9590834697217676,0.9478207489257213
0.962152209492635,0.9392265193370166
0.962152209492635,0.9404542664211173
0.9590834697217676,0.9429097605893186
0.964607201309329,0.9422958870472683
0.9662438625204582,0.952731737262124
0.9564238952536824,0.9459791282995703
